Date,Time,DryBulbCelsius,DryBulbFarenheit
20160318,1755,12,54
20160318,1815,12,54
20160318,1835,12,54
20160318,1855,11,52
20160318,1915,11,52
20160318,1935,10,50
20160318,1955,10,50
20160318,2015,10,50
20160318,2035,10,50
20160318,2055,10,50
20160318,2115,10,50
20160318,2135,9,48
20160318,2155,10,50
20160318,2215,10,50
20160318,2235,11,52
20160318,2255,11,52
20160318,2315,12,54
20160318,2335,12,54
20160318,2355,12,54
20160319,15,12,54
20160319,35,12,54
20160319,55,12,54
20160319,115,12,54
20160319,135,12,54
20160319,155,12,54
20160319,215,12,54
20160319,235,12,54
20160319,255,12,54
20160319,315,12,54
20160319,335,11,52
20160319,355,11,52
20160319,415,11,52
20160319,435,11,52
20160319,455,11,52
20160319,515,11,52
20160319,535,11,52
20160319,555,11,52
20160319,615,11,52
20160319,635,11,52
20160319,655,11,52
20160319,715,11,52
20160319,735,11,52
20160319,755,12,54
20160319,815,12,54
20160319,835,12,54
20160319,855,12,54
20160319,915,13,55
20160319,935,14,57
20160319,955,14,57
20160319,1015,15,59
20160319,1035,16,61
20160319,1055,16,61
20160319,1115,17,63
20160319,1135,17,63
20160319,1155,17,63
20160319,1215,18,64
20160319,1235,18,64
20160319,1255,18,64
20160319,1315,18,64
20160319,1335,18,64
20160319,1355,18,64
20160319,1415,18,64
20160319,1435,18,64
20160319,1455,18,64
20160319,1515,18,64
20160319,1535,18,64
20160319,1555,17,63
20160319,1615,17,63
20160319,1635,17,63
20160319,1655,17,63
20160319,1715,16,61
20160319,1735,15,59
20160319,1755,15,59
20160319,1815,15,59
20160319,1835,14,57
20160319,1855,14,57
20160319,1915,13,55
